Study;Scenario;Variable;Base;value1;Target;value2
Allwood et al. (2010);ALL10-NDR;Production;2006;1100;2050;2544
Allwood et al. (2010);ALL10-CCS;Production;2006;1100;2050;2544
Allwood et al. (2010);ALL10-RED;Production;2006;1100;2050;1440
Allwood et al. (2010);ALL10-EFF;Production;2006;1100;2050;2400
Milford et al. (2013);MIL13-HIGH;Production;2008;1381;2050;1193
Milford et al. (2013);MIL13-050;Production;2008;1381;2050;1193
Milford et al. (2013);MIL13-100;Production;2008;1381;2050;1193
Milford et al. (2013);MIL13-150;Production;2008;1381;2050;1193
OECD/IEA (2017);IEA15-2°C;Production;2012;1560;2025;1951
OECD/IEA (2017);IEA17-2°C;Production;2014;1670;2060;2251
OECD/IEA (2017);IEA17-<2°C;Production;2014;1670;2060;1779
OECD/IEA (2009);IEA09-LOW;Production;2006;1250;2050;2311
OECD/IEA (2009);IEA09-HIGH;Production;2006;1250;2050;2771
van Ruiven et al. (2016);RUJ16-100CCS;Production;2010;1449;2050;2150
van Ruiven et al. (2016);RUJ16-100;Production;2010;1449;2050;2150
van Ruiven et al. (2016);RUJ16-50CCS;Production;2010;1449;2050;2150
van Ruiven et al. (2016);RUJ16-50;Production;2010;1449;2050;2150
van Ruiven et al. (2016);RUJ16-20CCS;Production;2010;1449;2050;2150
van Ruiven et al. (2016);RUJ16-20;Production;2010;1449;2050;2150
Bellevrat et al. (2009);BEL09-F2W;Production;2010;1460;2050;2416
Boston Consulting Group (2013);BCG13-THM;Production;2010;172.8;2050;236
Boston Consulting Group (2013);BCG13-CCS;Production;2010;172.8;2050;236
Pardo et al. (2012);JRC12-5x;Production;2010;171.2;2030;260
Pardo et al. (2012);JRC12-2x;Production;2010;171.2;2030;260
Pardo et al. (2012);JRC12-100CO2;Production;2010;171.2;2030;260
Pardo et al. (2012);JRC12-200CO2;Production;2010;171.2;2030;260
Bellevrat et al. (2009);BEL09-F2ED;Production;2005;195;2050;251.6
OECD/IEA (2017);IEA17-2°C;Final Energy;2014;35615;2060;27147
OECD/IEA (2017);IEA17-<2°C;Final Energy;2014;35615;2060;19166
OECD/IEA (2009);IEA09-LOW;Final Energy;2006;24000;2050;31000
OECD/IEA (2009);IEA09-HIGH;Final Energy;2006;24000;2050;35000
van Ruiven et al. (2016);RUJ16-100CCS;Final Energy;2010;30882;2050;23677
van Ruiven et al. (2016);RUJ16-100;Final Energy;2010;30882;2050;24020
van Ruiven et al. (2016);RUJ16-50CCS;Final Energy;2010;30882;2050;23539
van Ruiven et al. (2016);RUJ16-50;Final Energy;2010;30882;2050;26422
van Ruiven et al. (2016);RUJ16-20CCS;Final Energy;2010;30882;2050;26078
van Ruiven et al. (2016);RUJ16-20;Final Energy;2010;30882;2050;27794
Allwood et al. (2010);ALL10-NDR;GHG Emissions;2006;2343;2050;1172
Allwood et al. (2010);ALL10-CCS;GHG Emissions;2006;2343;2050;1422
Allwood et al. (2010);ALL10-RED;GHG Emissions;2006;2343;2050;1172
Allwood et al. (2010);ALL10-EFF;GHG Emissions;2006;2343;2050;1172
Milford et al. (2013);MIL13-HIGH;GHG Emissions;2008;2722;2030;2225
Milford et al. (2013);MIL13-050;GHG Emissions;2008;2722;2030;675
Milford et al. (2013);MIL13-100;GHG Emissions;2008;2722;2030;1625
Milford et al. (2013);MIL13-150;GHG Emissions;2008;2722;2030;1975
Milford et al. (2013);MIL13-HIGH;GHG Emissions;2008;2722;2050;2236
Milford et al. (2013);MIL13-050;GHG Emissions;2008;2722;2050;550
Milford et al. (2013);MIL13-100;GHG Emissions;2008;2722;2050;1045
Milford et al. (2013);MIL13-150;GHG Emissions;2008;2722;2050;1653
OECD/IEA (2017);IEA17-2°C;GHG Emissions;2014;2338;2030;1872
OECD/IEA (2017);IEA17-<2°C;GHG Emissions;2014;2338;2030;1162
OECD/IEA (2017);IEA17-2°C;GHG Emissions;2014;2338;2060;1242
OECD/IEA (2017);IEA17-<2°C;GHG Emissions;2014;2338;2060;208
OECD/IEA (2009);IEA09-LOW;GHG Emissions;2006;2625;2050;1375
OECD/IEA (2009);IEA09-HIGH;GHG Emissions;2006;2625;2050;1375
van Ruiven et al. (2016);RUJ16-100CCS;GHG Emissions;2010;3000;2050;170.2
van Ruiven et al. (2016);RUJ16-100;GHG Emissions;2010;3000;2050;510.6
van Ruiven et al. (2016);RUJ16-50CCS;GHG Emissions;2010;3000;2050;340.4
van Ruiven et al. (2016);RUJ16-50;GHG Emissions;2010;3000;2050;561.7
van Ruiven et al. (2016);RUJ16-20CCS;GHG Emissions;2010;3000;2050;680.9
van Ruiven et al. (2016);RUJ16-20;GHG Emissions;2010;3000;2050;936.2
Bellevrat et al. (2009);BEL09-F2W;GHG Emissions;2010;3000;2050;535.4
Boston Consulting Group (2013);BCG13-THM;GHG Emissions;2010;223;2050;184
Boston Consulting Group (2013);BCG13-CCS;GHG Emissions;2010;223;2050;119
OECD/IEA (2017);IEA15-2°C;GHG Emissions;2012;2496;2025;2731.4
Pardo et al. (2012);JRC12-5x;GHG Emissions;2010;200;2030;211
Pardo et al. (2012);JRC12-2x;GHG Emissions;2010;200;2030;221.9
Pardo et al. (2012);JRC12-100CO2;GHG Emissions;2010;200;2030;225.77
Pardo et al. (2012);JRC12-200CO2;GHG Emissions;2010;200;2030;215.46
Allwood et al. (2010);ALL10-NDR;Production;2006;1100;2006;1100
Allwood et al. (2010);ALL10-CCS;Production;2006;1100;2006;1100
Allwood et al. (2010);ALL10-RED;Production;2006;1100;2006;1100
Allwood et al. (2010);ALL10-EFF;Production;2006;1100;2006;1100
Milford et al. (2013);MIL13-HIGH;Production;2008;1381;2008;1381
Milford et al. (2013);MIL13-050;Production;2008;1381;2008;1381
Milford et al. (2013);MIL13-100;Production;2008;1381;2008;1381
Milford et al. (2013);MIL13-150;Production;2008;1381;2008;1381
OECD/IEA (2017);IEA15-2°C;Production;2012;1560;2012;1560
OECD/IEA (2017);IEA17-2°C;Production;2014;1670;2014;1670
OECD/IEA (2017);IEA17-<2°C;Production;2014;1670;2014;1670
OECD/IEA (2009);IEA09-LOW;Production;2006;1250;2006;1250
OECD/IEA (2009);IEA09-HIGH;Production;2006;1250;2006;1250
van Ruiven et al. (2016);RUJ16-100CCS;Production;2010;1449;2010;1449
van Ruiven et al. (2016);RUJ16-100;Production;2010;1449;2010;1449
van Ruiven et al. (2016);RUJ16-50CCS;Production;2010;1449;2010;1449
van Ruiven et al. (2016);RUJ16-50;Production;2010;1449;2010;1449
van Ruiven et al. (2016);RUJ16-20CCS;Production;2010;1449;2010;1449
van Ruiven et al. (2016);RUJ16-20;Production;2010;1449;2010;1449
Bellevrat et al. (2009);BEL09-F2W;Production;2010;1460;2010;1460
Boston Consulting Group (2013);BCG13-THM;Production;2010;172.8;2010;172.8
Boston Consulting Group (2013);BCG13-CCS;Production;2010;172.8;2010;172.8
Pardo et al. (2012);JRC12-5x;Production;2010;171.2;2010;171.2
Pardo et al. (2012);JRC12-2x;Production;2010;171.2;2010;171.2
Pardo et al. (2012);JRC12-100CO2;Production;2010;171.2;2010;171.2
Pardo et al. (2012);JRC12-200CO2;Production;2010;171.2;2010;171.2
Bellevrat et al. (2009);BEL09-F2ED;Production;2005;195;2005;195
OECD/IEA (2017);IEA17-2°C;Final Energy;2014;35615;2014;35615
OECD/IEA (2017);IEA17-<2°C;Final Energy;2014;35615;2014;35615
OECD/IEA (2009);IEA09-LOW;Final Energy;2006;24000;2006;24000
OECD/IEA (2009);IEA09-HIGH;Final Energy;2006;24000;2006;24000
van Ruiven et al. (2016);RUJ16-100CCS;Final Energy;2010;30882;2010;30882
van Ruiven et al. (2016);RUJ16-100;Final Energy;2010;30882;2010;30882
van Ruiven et al. (2016);RUJ16-50CCS;Final Energy;2010;30882;2010;30882
van Ruiven et al. (2016);RUJ16-50;Final Energy;2010;30882;2010;30882
van Ruiven et al. (2016);RUJ16-20CCS;Final Energy;2010;30882;2010;30882
van Ruiven et al. (2016);RUJ16-20;Final Energy;2010;30882;2010;30882
Allwood et al. (2010);ALL10-NDR;GHG Emissions;2006;2343;2006;2343
Allwood et al. (2010);ALL10-CCS;GHG Emissions;2006;2343;2006;2343
Allwood et al. (2010);ALL10-RED;GHG Emissions;2006;2343;2006;2343
Allwood et al. (2010);ALL10-EFF;GHG Emissions;2006;2343;2006;2343
Milford et al. (2013);MIL13-HIGH;GHG Emissions;2008;2722;2008;2722
Milford et al. (2013);MIL13-050;GHG Emissions;2008;2722;2008;2722
Milford et al. (2013);MIL13-100;GHG Emissions;2008;2722;2008;2722
Milford et al. (2013);MIL13-150;GHG Emissions;2008;2722;2008;2722
Milford et al. (2013);MIL13-HIGH;GHG Emissions;2008;2722;2008;2722
Milford et al. (2013);MIL13-050;GHG Emissions;2008;2722;2008;2722
Milford et al. (2013);MIL13-100;GHG Emissions;2008;2722;2008;2722
Milford et al. (2013);MIL13-150;GHG Emissions;2008;2722;2008;2722
OECD/IEA (2017);IEA17-2°C;GHG Emissions;2014;2338;2014;2338
OECD/IEA (2017);IEA17-<2°C;GHG Emissions;2014;2338;2014;2338
OECD/IEA (2017);IEA17-2°C;GHG Emissions;2014;2338;2014;2338
OECD/IEA (2017);IEA17-<2°C;GHG Emissions;2014;2338;2014;2338
OECD/IEA (2009);IEA09-LOW;GHG Emissions;2006;2625;2006;2625
OECD/IEA (2009);IEA09-HIGH;GHG Emissions;2006;2625;2006;2625
van Ruiven et al. (2016);RUJ16-100CCS;GHG Emissions;2010;3000;2010;3000
van Ruiven et al. (2016);RUJ16-100;GHG Emissions;2010;3000;2010;3000
van Ruiven et al. (2016);RUJ16-50CCS;GHG Emissions;2010;3000;2010;3000
van Ruiven et al. (2016);RUJ16-50;GHG Emissions;2010;3000;2010;3000
van Ruiven et al. (2016);RUJ16-20CCS;GHG Emissions;2010;3000;2010;3000
van Ruiven et al. (2016);RUJ16-20;GHG Emissions;2010;3000;2010;3000
Bellevrat et al. (2009);BEL09-F2W;GHG Emissions;2010;3000;2010;3000
Boston Consulting Group (2013);BCG13-THM;GHG Emissions;2010;223;2010;223
Boston Consulting Group (2013);BCG13-CCS;GHG Emissions;2010;223;2010;223
OECD/IEA (2017);IEA15-2°C;GHG Emissions;2012;2496;2012;2496
Pardo et al. (2012);JRC12-5x;GHG Emissions;2010;200;2010;200
Pardo et al. (2012);JRC12-2x;GHG Emissions;2010;200;2010;200
Pardo et al. (2012);JRC12-100CO2;GHG Emissions;2010;200;2010;200
Pardo et al. (2012);JRC12-200CO2;GHG Emissions;2010;200;2010;200
