"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Forcing","W/m2","",1.8427,2.062,0,2.6103,0,2.928,0,2.7882,0,2.5854,0,2.3667,0,2.1948,0,2.0391,0,1.8872,0,1.7708
"AIM/CGE 2.0","ADVANCE_2020_Med2C","World","Forcing","W/m2","",1.8427,2.062,0,2.6089,0,2.9497,0,2.9414,0,2.9742,0,2.9786,0,2.9881,0,3.0349,0,3.0852,0,3.1134
"AIM/CGE 2.0","ADVANCE_2020_WB2C","World","Forcing","W/m2","",1.8427,2.062,0,2.6101,0,2.9426,0,2.882,0,2.7752,0,2.6547,0,2.5495,0,2.4861,0,2.4366,0,2.3752
"AIM/CGE 2.0","ADVANCE_2030_Med2C","World","Forcing","W/m2","",1.8427,2.0621,0,2.6119,0,3.0436,0,3.3067,0,3.1835,0,3.1349,0,3.1416,0,3.1986,0,3.2644,0,3.3028
"AIM/CGE 2.0","ADVANCE_2030_Price1.5C","World","Forcing","W/m2","",1.8427,2.0611,0,2.6121,0,3.053,0,3.2928,0,3.0143,0,2.7897,0,2.6408,0,2.5311,0,2.44,0,2.3765
"AIM/CGE 2.0","ADVANCE_2030_WB2C","World","Forcing","W/m2","",1.8427,2.0621,0,2.6119,0,3.0436,0,3.3073,0,3.1333,0,2.9125,0,2.7384,0,2.6214,0,2.5495,0,2.4803
"AIM/CGE 2.0","ADVANCE_INDC","World","Forcing","W/m2","",1.8427,2.0611,0,2.6112,0,3.0448,0,3.4086,0,3.6632,0,3.8169,0,3.9554,0,4.0545,0,4.1311,0,4.1882
"AIM/CGE 2.0","ADVANCE_NoPolicy","World","Forcing","W/m2","",1.8427,2.0612,0,2.6256,0,3.1328,0,3.6969,0,4.2467,0,4.7207,0,5.2093,0,5.734,0,6.2625,0,6.7492
"AIM/CGE 2.0","ADVANCE_Reference","World","Forcing","W/m2","",1.8427,2.0611,0,2.608,0,3.0692,0,3.5639,0,4.0312,0,4.4258,0,4.8224,0,5.2361,0,5.6837,0,6.1098
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","World","Forcing","W/m2","",1.8438,2.0785,0,2.5597,0,2.8149,0,2.7137,0,2.5406,0,2.3656,0,2.2224,0,2.0954,0,1.9885,0,1.8995
"AIM/CGE 2.0","SFCM_SSP2_Bio_2Degree","World","Forcing","W/m2","",1.8438,2.0785,0,2.5577,0,2.8427,0,2.942,0,2.9229,0,2.8901,0,2.8565,0,2.8021,0,2.747,0,2.6991
"AIM/CGE 2.0","SFCM_SSP2_Bio_Baseline","World","Forcing","W/m2","",1.8437,2.0764,0,2.6206,0,3.1448,0,3.6925,0,4.2379,0,4.7514,0,5.2705,0,5.7779,0,6.2735,0,6.7424
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","World","Forcing","W/m2","",1.8443,2.085,0,2.5678,0,2.8153,0,2.7046,0,2.5267,0,2.3452,0,2.1948,0,2.0637,0,1.9551,0,1.8634
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","World","Forcing","W/m2","",1.8443,2.085,0,2.5658,0,2.8453,0,2.9346,0,2.9079,0,2.8732,0,2.8347,0,2.7761,0,2.7191,0,2.6695
"AIM/CGE 2.0","SFCM_SSP2_EEEI_Baseline","World","Forcing","W/m2","",1.8442,2.0832,0,2.6215,0,3.1157,0,3.6102,0,4.0811,0,4.5133,0,4.958,0,5.3825,0,5.7862,0,6.1563
"AIM/CGE 2.0","SFCM_SSP2_LifeStyle_1p5Degree","World","Forcing","W/m2","",1.8441,2.0815,0,2.5556,0,2.8021,0,2.6932,0,2.5162,0,2.3389,0,2.1942,0,2.0674,0,1.962,0,1.8749
"AIM/CGE 2.0","SFCM_SSP2_LifeStyle_2Degree","World","Forcing","W/m2","",1.8441,2.0815,0,2.5536,0,2.828,0,2.9187,0,2.8936,0,2.8611,0,2.8257,0,2.77,0,2.7155,0,2.6691
"AIM/CGE 2.0","SFCM_SSP2_LifeStyle_Baseline","World","Forcing","W/m2","",1.844,2.0795,0,2.6118,0,3.107,0,3.6155,0,4.1154,0,4.5831,0,5.06,0,5.5229,0,5.9707,0,6.3897
"AIM/CGE 2.0","SFCM_SSP2_Ref_1p5Degree","World","Forcing","W/m2","",1.8438,2.0786,0,2.56,0,2.8158,0,2.7139,0,2.5395,0,2.3611,0,2.2148,0,2.0861,0,1.9786,0,1.8891
"AIM/CGE 2.0","SFCM_SSP2_Ref_2Degree","World","Forcing","W/m2","",1.8438,2.0786,0,2.5579,0,2.8435,0,2.9422,0,2.9229,0,2.8882,0,2.8521,0,2.7958,0,2.7403,0,2.6923
"AIM/CGE 2.0","SFCM_SSP2_Ref_Baseline","World","Forcing","W/m2","",1.8437,2.0764,0,2.6209,0,3.1451,0,3.6926,0,4.2372,0,4.7507,0,5.2705,0,5.7797,0,6.2782,0,6.7498
"AIM/CGE 2.0","SFCM_SSP2_ST_CCS_1p5Degree","World","Forcing","W/m2","",1.8438,2.0786,0,2.56,0,2.8162,0,2.7146,0,2.5418,0,2.3648,0,2.2199,0,2.0919,0,1.9849,0,1.8957
"AIM/CGE 2.0","SFCM_SSP2_ST_CCS_2Degree","World","Forcing","W/m2","",1.8438,2.0786,0,2.558,0,2.8469,0,2.9454,0,2.929,0,2.8921,0,2.8562,0,2.8,0,2.7446,0,2.6969
"AIM/CGE 2.0","SFCM_SSP2_ST_CCS_Baseline","World","Forcing","W/m2","",1.8437,2.0764,0,2.6209,0,3.1451,0,3.6926,0,4.2372,0,4.7507,0,5.2705,0,5.7797,0,6.2782,0,6.7498
"AIM/CGE 2.0","SFCM_SSP2_ST_bio_1p5Degree","World","Forcing","W/m2","",1.8438,2.0786,0,2.5598,0,2.8154,0,2.714,0,2.5403,0,2.3635,0,2.2185,0,2.0902,0,1.9829,0,1.8938
"AIM/CGE 2.0","SFCM_SSP2_ST_bio_2Degree","World","Forcing","W/m2","",1.8438,2.0786,0,2.5578,0,2.8432,0,2.9423,0,2.9231,0,2.8894,0,2.8545,0,2.7992,0,2.7438,0,2.6957
"AIM/CGE 2.0","SFCM_SSP2_ST_bio_Baseline","World","Forcing","W/m2","",1.8437,2.0764,0,2.6207,0,3.1447,0,3.6921,0,4.2367,0,4.7497,0,5.2684,0,5.7759,0,6.2718,0,6.7409
"AIM/CGE 2.0","SFCM_SSP2_ST_nuclear_1p5Degree","World","Forcing","W/m2","",1.8438,2.0785,0,2.5588,0,2.8151,0,2.7141,0,2.5399,0,2.3613,0,2.2145,0,2.0853,0,1.9776,0,1.8878
"AIM/CGE 2.0","SFCM_SSP2_ST_nuclear_2Degree","World","Forcing","W/m2","",1.8438,2.0785,0,2.5567,0,2.8418,0,2.9419,0,2.9238,0,2.8897,0,2.8537,0,2.7973,0,2.7419,0,2.6939
"AIM/CGE 2.0","SFCM_SSP2_ST_nuclear_Baseline","World","Forcing","W/m2","",1.8437,2.0763,0,2.6201,0,3.1457,0,3.6973,0,4.2463,0,4.7614,0,5.282,0,5.7909,0,6.2871,0,6.7533
"AIM/CGE 2.0","SFCM_SSP2_ST_solar_1p5Degree","World","Forcing","W/m2","",1.8438,2.0786,0,2.5601,0,2.8164,0,2.7148,0,2.5403,0,2.3608,0,2.2134,0,2.0837,0,1.9759,0,1.8861
"AIM/CGE 2.0","SFCM_SSP2_ST_solar_2Degree","World","Forcing","W/m2","",1.8438,2.0786,0,2.5581,0,2.8439,0,2.9425,0,2.9227,0,2.8886,0,2.8523,0,2.7956,0,2.7399,0,2.6916
"AIM/CGE 2.0","SFCM_SSP2_ST_solar_Baseline","World","Forcing","W/m2","",1.8437,2.0764,0,2.6209,0,3.1451,0,3.6922,0,4.2357,0,4.7473,0,5.2651,0,5.7723,0,6.2686,0,6.7381
"AIM/CGE 2.0","SFCM_SSP2_ST_wind_1p5Degree","World","Forcing","W/m2","",1.8438,2.0786,0,2.5602,0,2.817,0,2.7156,0,2.5408,0,2.3606,0,2.2126,0,2.0828,0,1.9748,0,1.8848
"AIM/CGE 2.0","SFCM_SSP2_ST_wind_2Degree","World","Forcing","W/m2","",1.8438,2.0786,0,2.5582,0,2.8444,0,2.9439,0,2.9242,0,2.8897,0,2.8529,0,2.796,0,2.7402,0,2.6918
"AIM/CGE 2.0","SFCM_SSP2_ST_wind_Baseline","World","Forcing","W/m2","",1.8437,2.0765,0,2.6209,0,3.145,0,3.6915,0,4.2341,0,4.7449,0,5.262,0,5.7683,0,6.2635,0,6.7311
"AIM/CGE 2.0","SFCM_SSP2_SupTech_1p5Degree","World","Forcing","W/m2","",1.8438,2.0785,0,2.5589,0,2.8169,0,2.7172,0,2.545,0,2.3674,0,2.2211,0,2.0922,0,1.9847,0,1.8951
"AIM/CGE 2.0","SFCM_SSP2_SupTech_2Degree","World","Forcing","W/m2","",1.8438,2.0785,0,2.557,0,2.8478,0,2.9497,0,2.9346,0,2.8979,0,2.8622,0,2.806,0,2.75,0,2.7016
"AIM/CGE 2.0","SFCM_SSP2_SupTech_Baseline","World","Forcing","W/m2","",1.8437,2.0763,0,2.62,0,3.1451,0,3.6954,0,4.2411,0,4.751,0,5.2657,0,5.7674,0,6.2552,0,6.7137
"AIM/CGE 2.0","SFCM_SSP2_combined_1p5Degree","World","Forcing","W/m2","",1.8446,2.088,0,2.5644,0,2.8036,0,2.6876,0,2.5094,0,2.3318,0,2.1852,0,2.0571,0,1.9507,0,1.8616
"AIM/CGE 2.0","SFCM_SSP2_combined_2Degree","World","Forcing","W/m2","",1.8446,2.088,0,2.5624,0,2.8353,0,2.9207,0,2.892,0,2.8587,0,2.8227,0,2.7648,0,2.7081,0,2.6593
"AIM/CGE 2.0","SFCM_SSP2_combined_Baseline","World","Forcing","W/m2","",1.8445,2.0863,0,2.6113,0,3.0776,0,3.5369,0,3.9658,0,4.3519,0,4.746,0,5.1161,0,5.458,0,5.7619
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Forcing","W/m2","",1.8433,2.0639,2.3245,2.5968,2.8387,2.9298,2.8767,2.8057,2.7101,2.637,2.5687,2.5152,2.4667,2.4183,2.3647,2.3066,2.2426,2.1691,2.0926,2.0194
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","World","Forcing","W/m2","",1.8434,2.0677,2.3359,2.6134,2.8614,2.9592,2.9076,2.8372,2.7394,2.6633,2.5955,2.5423,2.4935,2.444,2.3884,2.3285,2.2616,2.1853,2.1066,2.0308
"AIM/CGE 2.1","TERL_2D_LowCarbonTransportPolicy","World","Forcing","W/m2","",1.8433,2.0639,2.3247,2.5976,2.8421,2.961,2.9677,2.9899,3.0025,3.0091,3.0043,3.0016,2.9946,2.989,2.9772,2.9626,2.9424,2.915,2.8833,2.8464
"AIM/CGE 2.1","TERL_2D_NoTransportPolicy","World","Forcing","W/m2","",1.8434,2.0677,2.3362,2.6142,2.8649,2.9907,3.0018,3.0283,3.0381,3.0414,3.0388,3.0383,3.0338,3.03,3.0175,3,2.9768,2.947,2.9121,2.8725
"AIM/CGE 2.1","TERL_Baseline_LowCarbonTransportPolicy","World","Forcing","W/m2","",1.8433,2.063,2.3221,2.5973,2.8378,3.0839,3.3537,3.6188,3.872,4.1178,4.3285,4.5426,4.7616,4.9869,5.2262,5.4689,5.7261,5.9802,6.231,6.4526
"AIM/CGE 2.1","TERL_Baseline_NoTransportPolicy","World","Forcing","W/m2","",1.8433,2.0667,2.334,2.6194,2.8735,3.1346,3.4168,3.694,3.954,4.2061,4.4286,4.6558,4.888,5.1267,5.3792,5.635,5.9064,6.1743,6.4383,6.6733
"C-ROADS-5.005","Ratchet-1.5-allCDR","World","Forcing","W/m2","",1.87779,2.26144,2.27953,2.52612,2.75055,2.93687,3.04035,3.06799,3.00904,2.92037,2.80323,2.68227,2.56308,2.44518,2.33377,2.22551,2.12825,2.03756,1.95657,1.88114
"C-ROADS-5.005","Ratchet-1.5-limCDR","World","Forcing","W/m2","",1.87779,2.26144,2.27953,2.52519,2.75032,2.90394,2.95203,2.94635,2.87222,2.78087,2.6686,2.55859,2.45598,2.35903,2.27256,2.19339,2.12938,2.0757,2.03439,2.00112
"C-ROADS-5.005","Ratchet-1.5-limCDR-noOS","World","Forcing","W/m2","",1.87779,2.26144,2.27953,2.52496,2.73089,2.78713,2.7395,2.64984,2.50914,2.37165,2.23463,2.11781,2.01989,1.93468,1.86337,1.80039,1.75264,1.71482,1.68843,1.66826
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Forcing","W/m2","",1.87779,2.26144,2.27953,2.5252,2.75131,2.87244,2.86701,2.814,2.707,2.60127,2.49237,2.40039,2.32453,2.25782,2.20102,2.14848,2.10721,2.0722,2.04526,2.02162
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","World","Forcing","W/m2","",1.87779,2.26144,2.27953,2.52501,2.73011,2.77219,2.71957,2.64124,2.52512,2.4237,2.32496,2.24188,2.17242,2.11037,2.05706,2.00717,1.96797,1.93464,1.90912,1.88669
"C-ROADS-5.005","Reference","World","Forcing","W/m2","",1.87779,2.26144,2.29557,2.57307,2.8401,3.12174,3.40799,3.69828,3.98585,4.27979,4.55829,4.84421,5.13648,5.43515,5.73373,6.03584,6.33882,6.64383,6.9515,7.26022
"IMAGE 3.0.1","ADVANCE_2020_1.5C-2100","World","Forcing","W/m2","",1.926396966,2.096476078,2.32674408,2.604824066,2.865844965,2.962687969,3.001568079,2.980402946,2.89564991,2.795358896,2.705193043,2.613292933,2.511977911,2.416810036,2.330338955,2.255836964,2.193252087,2.136966944,2.086591959,2.037833929
"IMAGE 3.0.1","ADVANCE_2020_Med2C","World","Forcing","W/m2","",1.92603302,2.093797922,2.321918964,2.586035013,2.84950304,3.04560709,3.144728899,3.19629097,3.242328882,3.254992008,3.247307062,3.230731964,3.209471941,3.193870068,3.177634954,3.152434111,3.130950928,3.111466885,3.091782093,3.06678009
"IMAGE 3.0.1","ADVANCE_2020_WB2C","World","Forcing","W/m2","",1.92603302,2.093810081,2.323493004,2.594511032,2.853807926,2.998694897,3.045258999,3.0666821,3.049463034,3.026068926,2.964255095,2.906213045,2.846689939,2.791505098,2.745321035,2.702739954,2.667738914,2.639014959,2.612674952,2.583821058
"IMAGE 3.0.1","ADVANCE_2030_Med2C","World","Forcing","W/m2","",1.92603302,2.093784094,2.321475983,2.5800879,2.833389044,3.069986105,3.242938042,3.359107971,3.419177055,3.433717966,3.43235898,3.3842659,3.323136091,3.264332056,3.222095966,3.185719967,3.145744085,3.105364084,3.071852922,3.050750971
"IMAGE 3.0.1","ADVANCE_2030_WB2C","World","Forcing","W/m2","",1.92603302,2.093792915,2.321938992,2.579799891,2.830877066,3.077353954,3.26048398,3.244931936,3.197163105,3.139482975,3.085911989,3.007211924,2.930568933,2.867449999,2.814615965,2.767723083,2.730844975,2.690392017,2.658646107,2.618668079
"IMAGE 3.0.1","ADVANCE_INDC","World","Forcing","W/m2","",1.92603302,2.093784094,2.321475983,2.580054998,2.83186698,3.060578108,3.229556084,3.377706051,3.503031969,3.609838009,3.699367046,3.777092934,3.845104933,3.916930914,3.992105007,4.074730873,4.172273159,4.288321972,4.42013216,4.567708015
"IMAGE 3.0.1","ADVANCE_NoPolicy","World","Forcing","W/m2","",1.92572701,2.092519999,2.317326069,2.592236042,2.882028103,3.172013044,3.417439938,3.657623053,3.884848118,4.109228134,4.336019039,4.554689884,4.767593861,4.987836838,5.213162899,5.438313961,5.680819988,5.930609226,6.197502136,6.476727962
"IMAGE 3.0.1","ADVANCE_Reference","World","Forcing","W/m2","",1.92603302,2.093784094,2.321321964,2.577914,2.827089071,3.063335896,3.251339912,3.431165934,3.599411964,3.762183905,3.927171946,4.094951153,4.271966934,4.456593037,4.639071941,4.819108963,5.006706238,5.200646877,5.398386002,5.607050896
"IMAGE 3.0.1","IMA15-AGInt","World","Forcing","W/m2","",1.950999022,2.124062061,2.369601965,2.666831017,2.848973036,2.936903,2.952764034,2.915752888,2.841941118,2.740592957,"",2.532401085,"",2.355483055,"",2.18899107,"",2.079292059,"",1.979769945
"IMAGE 3.0.1","IMA15-Def","World","Forcing","W/m2","",1.92643702,2.098355055,2.343530893,2.646858931,2.83556509,2.942900896,2.952147007,2.876728058,2.787552118,2.732012033,"",2.543090105,"",2.341804981,"",2.17662096,"",2.060565948,"",1.95461297
"IMAGE 3.0.1","IMA15-Eff","World","Forcing","W/m2","",1.92643702,2.098967075,2.346832991,2.646559954,2.829368114,2.936031103,2.951148987,2.886729002,2.781764984,2.72461009,"",2.559501886,"",2.358581066,"",2.200373888,"",2.09306097,"",1.991253972
"IMAGE 3.0.1","IMA15-LiStCh","World","Forcing","W/m2","",1.951089978,2.124679089,2.370466948,2.663052082,2.827776909,2.91191411,2.91088295,2.855629921,2.767226934,2.659184933,"",2.438512087,"",2.260308981,"",2.102646112,"",1.997056961,"",1.910184979
"IMAGE 3.0.1","IMA15-LoNCO2","World","Forcing","W/m2","",1.92643702,2.098475933,2.339571953,2.636203051,2.823601961,2.938124895,2.981563091,2.963589907,2.897792101,2.793667078,"",2.566714048,"",2.35808897,"",2.189806938,"",2.044475079,"",1.944409013
"IMAGE 3.0.1","IMA15-Pop","World","Forcing","W/m2","",1.92643702,2.098361969,2.342683077,2.643321037,2.827500105,2.935256958,2.966995955,2.937501907,2.862673998,2.757302046,"",2.593888044,"",2.404800892,"",2.22220993,"",2.088527918,"",1.955575943
"IMAGE 3.0.1","IMA15-RenElec","World","Forcing","W/m2","",1.951006055,2.124514103,2.375340939,2.675478935,2.856859922,2.960963964,2.974545956,2.935431004,2.850258112,2.736485958,"",2.589292049,"",2.392194033,"",2.221543074,"",2.084530115,"",1.961246014
"IMAGE 3.0.1","IMA15-TOT","World","Forcing","W/m2","",1.926409006,2.099736929,2.347214937,2.633665085,2.803874969,2.864216089,2.851666927,2.779962063,2.673639059,2.553088903,"",2.327680111,"",2.142668009,"",2.011275053,"",1.936812997,"",1.893128037
"MERGE-ETL 6.0","BAU","World","Forcing","W/m2",4.15,4.33,4.5,"",4.7,"",5.32,"",6.16,"",6.97,"",7.75,"",8.32,"",8.72,"",9.01,"",9.24
"MERGE-ETL 6.0","DAC15_50","World","Forcing","W/m2",4.15,4.33,4.5,"",4.63,"",4.79,"",4.93,"",5.02,"",5.09,"",4.97,"",4.68,"",4.18,"",3.4
"MERGE-ETL 6.0","DAC2_66","World","Forcing","W/m2",4.15,4.33,4.5,"",4.66,"",4.98,"",5.33,"",5.56,"",5.72,"",5.69,"",5.5,"",5.16,"",4.68
"MESSAGE V.3","GEA_Eff_1p5C","World","Forcing","W/m2","",1.620393202,1.910188973,"",2.452734902,"",2.683489308,"",2.738146384,"",2.708512862,"",2.608144457,"",2.454229141,"",2.264468591,"",2.050056547,"",1.81773553
"MESSAGE V.3","GEA_Eff_1p5C_Delay2020","World","Forcing","W/m2","",1.619766861,1.905033529,"",2.406585604,"",2.886376098,"",3.041657366,"",2.995961622,"",2.825344928,"",2.572800808,"",2.297059372,"",2.037144205,"",1.801419933
"MESSAGE V.3","GEA_Eff_2C_Delay2020","World","Forcing","W/m2","",1.619758994,1.905023224,"",2.402499459,"",2.842084244,"",3.189741015,"",3.340288315,"",3.280596279,"",3.108545556,"",2.880802885,"",2.631597011,"",2.374556012
